"Time","ch1","ch2","ch3","l1","l2","l3","l4","total","c","change"
"2019-06-17T12:28:16.193Z",1.5,0.43,-0.01,0,0,0,1,3,0,1
"2019-06-17T12:28:17.200Z",1.5,0.43,-0.01,0,0,0,1,3,0,0
"2019-06-17T12:28:18.192Z",1.26,0.43,-0.01,0,0,0,1,3,0,0
"2019-06-17T12:28:19.200Z",-0.24,0.43,-0.02,0,0,0,1,3,0,0
"2019-06-17T12:28:20.207Z",-0.44,0.43,-0.02,0,0,0,1,3,0,0
"2019-06-17T12:28:21.198Z",-0.48,0.43,-0.02,0,0,0,1,3,0,0
"2019-06-17T12:28:22.206Z",-0.48,0.43,-0.02,0,0,0,1,3,0,0
"2019-06-17T12:28:23.197Z",-0.48,0.43,-0.02,0,0,0,1,3,173,1
"2019-06-17T12:28:24.205Z",-0.48,0.41,-0.02,0,0,0,1,3,173,0
"2019-06-17T12:28:25.213Z",-0.48,0.35,-0.02,0,0,0,1,3,173,0
"2019-06-17T12:28:26.204Z",-0.48,0.28,-0.02,0,0,0,1,3,173,0
"2019-06-17T12:28:27.211Z",-0.39,0.23,-0.02,0,0,0,1,3,173,0
"2019-06-17T12:28:28.203Z",-0.11,0.22,-0.02,0,0,0,1,3,173,0
"2019-06-17T12:28:29.210Z",0.55,0.22,-0.01,0,0,0,1,3,173,0
"2019-06-17T12:28:30.218Z",0.64,0.22,-0.01,0,0,0,1,3,173,0
"2019-06-17T12:28:31.210Z",0.64,0.22,-0.01,1,0,0,1,4,173,1
"2019-06-17T12:28:32.217Z",0.64,0.22,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:33.209Z",0.64,0.22,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:34.216Z",0.64,0.22,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:35.224Z",0.64,0.22,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:36.215Z",0.64,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:37.223Z",0.43,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:38.214Z",-0.03,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:39.222Z",-0.34,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:40.230Z",-0.34,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:41.221Z",-0.34,0.22,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:42.228Z",-0.34,0.22,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:43.220Z",-0.34,0.23,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:44.227Z",-0.34,0.27,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:45.219Z",-0.34,0.31,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:46.227Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:47.234Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:48.226Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:49.233Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:50.225Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:51.232Z",-0.34,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:52.239Z",-0.31,0.32,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:53.231Z",0.86,0.32,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:54.238Z",1.46,0.32,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:55.246Z",1.46,0.32,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:56.238Z",1.46,0.32,-0.02,1,0,0,1,4,173,0
"2019-06-17T12:28:57.245Z",1.46,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:58.237Z",1.46,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:28:59.244Z",1.46,0.32,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:29:00.252Z",1.46,0.31,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:29:01.243Z",1.46,0.27,-0.01,1,0,0,1,4,173,0
"2019-06-17T12:29:02.251Z",1.46,0.23,-0.01,1,0,0,1,4,173,0
